,Smiles_Solute,Smiles_Solvent,Smiles_Merged,LogS
0,Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCC,CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1.CCCC1~Br~CC1,-5.328827157284917
1,Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCCCCO,CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1.CCCCCCCC1~Br~O1,-1.3151546383555874
2,Br.Fc1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCC,CCCC1~Br~CC1.Fc1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,-5.896196279044043
3,Br.Fc1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCCCCO,CCCCCCCC1~Br~O1.Fc1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,-2.5228787452803374
4,Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCC,CCCC1~Br~CC1.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,-5.306273051076353
5,Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCCCCO,CCCCCCCC1~Br~O1.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,-1.7304870557820837
6,Brc1ccc(NC2=NCCC3(CCCCC3)S2)cc1,CCCCCC,CCCC1~N(c2ccc(Br)cc2)C2(~CC1)=NCCC1(CCCCC1)S2,-4.609064892896621
7,Brc1sc(Br)c(Br)c1Br,ClC(Cl)Cl,ClC1(Cl)~s2c(Br)c(Br)c(Br)c2(Br)~Cl1,-2.899629454882437
8,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,C#CC(C)(C)N1~C2(~C1(=O)c1cc(Cl)cc(Cl)c1)CCCCC2,-3.869666231504994
9,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,C1CCOC1,C#C[C@@]12CC[C@H]3[C@@H]4CCC5=CC(=O)(~O6CCCC6~O1)CC[C@@H]5[C@H]4C(=C)C[C@@]32CC,-1.1313555616051743
10,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,COC(C)=O,C#C[C@@]12CC[C@H]3[C@@H]4CCC5=CC(=O)(~O(C)C(C)(=O)~O1)CC[C@@H]5[C@H]4C(=C)C[C@@]32CC,-1.9829666607012197
11,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CCCCOC(C)=O,CCCCO1~C(c2ccccc2)(c2ccccc2)N2CCN(C/C=C/c3ccccc3)(~C1(C)=O)CC2,-1.8153085691824011
12,C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,CN1CCCC1=O,CN12~c3(-c4ccc(C=Cc5ccc(-c6nc7ccccc7o6)cc5)cc4)nc4ccccc4o3~C1(=O)CCC2,-5.497982785172852
13,C/C=C/C(=O)O,CC(=O)O,C/C=C/C1(=O)~OC(C)(=O)~O1,-0.6852903070448263
14,C/C=C/C=C/C(=O)O,COC(C)(C)C,C/C=C/C=C/C1(=O)~O(C)C(C)(C)(C)~O1,-1.3951262294473643
15,C1N2CN3CN1CN(C2)C3,CC(=O)O,CC1(=O)~N23CN4CN(CN(C4)C2~O1)C3,-0.6111885865264765
16,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCCOCCO,C=C(C)[C@@H]1CC[C@]2(C3(=O)~OCC(OCCC)~O3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-1.6219656775426685
17,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,COCCO,C=C(C)[C@@H]1CC[C@]2(C3(=O)~OCC(OC)~O3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-2.0639892042847903
18,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C1CCOC1,C=C(C)[C@@H]1CC[C@]2(C3(=O)~O4CCCC4~O3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-2.010995384301463
19,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCC(C)O,C=C(C)[C@@H]1CC[C@]2(C3(=O)~OC(C)(CC)~O3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-3.0856568428805593
20,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCCCCCO,C=C(C)[C@@H]1CC[C@]2(C3(=O)~OC(CCCCC)~O3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-2.6455073994105636
21,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCCCCO,C=C(C)[C@@H]1CC[C@]2(C3(=O)~OC(CCCC)~O3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-2.7004927012995124
