,Unnamed: 0,Smiles_Solvent,solute_freq,Loss,R2,Solvent_Name
0,0,C1CCCCC1,68,1.654,0.335,Cyclohexane
1,1,C1CCOC1,80,0.815,0.583,Oxolane
2,2,CC(=O)CC(C)C,7,0.996,0.259,4-Methylpentan-2-one
3,3,CC(=O)N(C)C,15,0.594,0.011,"N,N-Dimethylacetamide"
4,4,CC(=O)O,37,0.884,0.377,acetic acid
5,5,CC(=O)OC(C)C,15,0.434,0.749,propan-2-yl acetate
6,6,CC(=O)OCC(C)C,9,1.229,0.411,2-Methylpropyl acetate
7,7,CC(=O)c1ccccc1,5,2.015,0.001,1-Phenylethanone
8,8,CC(C)(C)O,10,0.464,0.803,2-Methylpropan-2-ol
9,9,CC(C)CCO,24,0.354,0.536,3-Methylbutan-1-ol
10,10,CC(C)CO,115,1.129,0.648,2-Methylpropan-1-ol
11,11,CC(O)CO,22,0.761,0.312,"PROPANE-1,2-DIOL"
12,12,CCC(=O)CC,4,0.558,0.99,pentan-3-one
13,13,CCC(=O)O,5,0.613,0.878,Propanoic acid
14,14,CCC(=O)OC,3,0.68,0.077,Methyl propanoate
15,15,CCC(C)(C)O,7,0.305,0.936,2-Methylbutan-2-ol
16,16,CCC(C)=O,78,0.532,0.742,butan-2-one
17,17,CCC(C)O,69,0.363,0.795,Butan-2-ol
18,18,CCCC(C)=O,3,0.572,0.932,Pentan-2-one
19,19,CCCC(C)O,3,0.877,0.972,pentan-2-ol
20,20,CCCCC,3,1.559,0.979,Pentane
21,21,CCCCCC,65,1.61,0.478,Hexane
22,22,CCCCCCC,17,0.948,0.415,HEPTANE
23,23,CCCCCCCC,5,1.231,0.921,octane
24,24,CCCCCCCCO,54,0.739,0.593,OCTAN-1-OL
25,25,CCCCCCCO,12,0.483,0.663,Heptan-1-ol
26,26,CCCCCCO,20,0.419,0.779,HEXAN-1-OL
27,27,CCCCCO,80,0.441,0.691,Pentan-1-ol
28,28,CCCCCOC(C)=O,7,0.431,0.77,Pentyl acetate
29,29,CCCCOC(C)=O,38,0.425,0.61,Butyl acetate
30,30,CCCCOCCO,3,0.304,0.966,2-Butoxyethanol
31,31,CCCOC(C)=O,26,0.483,0.471,Propyl acetate
32,32,CCCOCC(C)O,3,0.284,0.911,1-Propoxypropan-2-ol
33,33,CCCOCCC,3,0.803,0.763,1-propoxypropane
34,34,CCCOCCO,6,0.462,0.767,2-Propoxyethanol
35,35,CCOC=O,17,0.554,0.272,Ethyl formate
36,36,CCOCC,10,0.68,0.612,Ethoxyethane
37,37,CCOCCO,21,0.457,0.479,2-Ethoxyethanol
38,38,CCOCCOCC,3,1.283,0.435,"1,2-Diethoxyethane"
39,39,CCOCCOCCO,9,0.916,0.612,2-(2-Ethoxyethoxy)ethanol
40,40,CCc1ccccc1,6,1.054,0.183,Ethylbenzene
41,41,CN1CCCC1=O,52,1.08,0.296,1-methylpyrrolidin-2-one
42,42,COC(C)(C)C,12,1.031,0.2,2-Methoxy-2-methylpropane
43,43,COC(C)=O,74,0.54,0.725,METHYL ACETATE
44,44,COC(C)COC(C)COC(C)CO,3,0.164,0.932,2-[2-(2-methoxypropoxy)propoxy]propan-1-ol
45,45,COCC(C)O,6,0.47,0.712,1-Methoxypropan-2-ol
46,46,COCC(C)OC(C)=O,3,0.411,0.492,1-methoxypropan-2-yl acetate
47,47,COCCO,13,0.566,0.519,2-Methoxyethanol
48,48,CS(C)=O,57,1.323,0.464,Methylsulfinylmethane
49,49,Cc1ccc(C(C)C)cc1,3,0.535,0.706,1-methyl-4-propan-2-ylbenzene
50,50,Cc1cccc(C)c1,7,1.016,0.081,"1,3-Dimethylbenzene"
51,51,Cc1ccccc1C,5,0.956,0.325,"1,2-Dimethylbenzene"
52,52,ClC(Cl)(Cl)Cl,14,1.366,0.617,Tetrachloromethane
53,53,ClC(Cl)Cl,59,1.108,0.258,Chloroform
54,54,ClC=C(Cl)Cl,3,1.186,0.814,"1,1,2-trichloroethene"
55,55,ClCCCl,15,0.701,0.637,"1,2-dichloroethane
1,2-dichloroethyne"
56,56,ClCCl,55,0.814,0.273,Dichloromethane
57,57,NC=O,4,2.011,0.61,FORMAMIDE
58,58,O=C1CCCC1,3,0.312,0.953,Cyclopentanone
59,59,O=C1CCCCC1,33,0.61,0.152,Cyclohexanone
60,60,O=C1CCCO1,4,1.241,0.227,oxolan-2-one
61,61,O=CO,5,1.332,0.082,formic acid
62,62,OCCO,54,0.711,0.473,"Ethane-1,2-diol"
63,63,OCCOCCO,4,0.998,0.896,2-(2-Hydroxyethoxy)ethanol
64,64,OCc1ccccc1,3,1.175,0.946,phenylmethanol
65,65,c1ccncc1,4,0.647,0.206,Pyridine
